LGPNet (38.147),LGPNet+Attention (38.278),LGPNet+Ours (38.400)
9.683036,10.436268,6.5912848
4.833186,4.158436,4.459053
2.2302287,3.0388914,3.6920152
1.9934473,2.294364,2.7357323
1.7675246,1.9532948,2.3952753
1.4965365,1.5951937,1.8593029
1.2357757,1.2606668,1.5468999
0.96472937,1.0179886,1.2430272
0.7652691,0.8912578,1.073669
0.6794765,0.7759779,0.95830375
0.5787474,0.7200288,0.8021688
0.51435494,0.6353899,0.70465785
0.4572537,0.53298694,0.58562243
0.4013573,0.47601968,0.51464295
0.3266621,0.41869134,0.4673981
0.30703956,0.37744543,0.423364
0.26403853,0.3169789,0.3627466
0.23603915,0.2814701,0.3246495
0.15756127,0.2411575,0.28059316
0.14449567,0.19984017,0.25357732
0.13251282,0.17960912,0.16830362
0.11641274,0.095450506,0.1045542
0.07785906,0.08781454,0.103548974
0.045659468,0.11200834,0.06489982
0.076847255,0.069708124,0.07113749
0.057505105,0.06624068,0.05303028
0.09143827,0.05001204,0.09119339
0.07566863,0.051379196,0.100393966
0.075479805,0.05177579,0.113080576
0.084855035,0.06411592,0.11785676
0.08301037,0.077065475,0.115245074
0.0859916,0.12277065,0.07247361
